MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; velocidad
4; 11; 0; 0; 1; 1; 9,32147264498352
21; 2; 0; 0; 1; 1; 7,0069563234326
32; 10; 0; 0; 1; 1; 11,2809050151125
54; 20; 0; 0; 1; 1; 6,27811334125051
68; 3; 0; 0; 1; 1; 9,42637634920573
70; 16; 0; 0; 1; 1; 14,0990981810611
77; 16; 2; 0; 0,827365719808408; 0,169457929728552; 5,63963927242444
109; 2; 0; 0; 1; 1; 7,02634502484776
113; 4; 0; 0; 1; 1; 8,02923830221735
113; 10; 0; 0; 1; 1; 8,0577892965089
128; 2; 0; 0; 1; 1; 7,03189740248644
176; 10; 0; 0; 1; 1; 8,41206885352755
191; 10; 0; 0; 0,999957816500601; 0,999957816500601; 9,35516627376719
231; 20; 0; 0; 1; 1; 5,13663818829587
235; 10; 7; 0; 0,148606562604248; 0,0264606480161076; 10,0717820636226
244; 20; 0; 0; 1; 1; 9,41717001187576
273; 3; 0; 0; 1; 1; 5,65582580952344
277; 10; 0; 0; 1; 1; 8,45926465494068
281; 10; 0; 0; 1; 1; 4,67337158529308
302; 10; 8; 0; 0,118563324329322; 0,0286711792741547; 11,7504124075597
304; 10; 7; 0; 0,14127643198304; 0,0617643878897276; 7,00210496444723
321; 10; 0; 0; 1; 1; 11,2809050151125
340; 2; 1; 0; 0,993377451950076; 0,00662254804992423; 8,44782127273664
358; 2; 0; 0; 1; 1; 6,0324472084581
362; 3; 0; 0; 1; 1; 10,5149791938726
363; 3; 1; 0; 0,369241097181702; 0,261517805636596; 14,118266089305
365; 10; 0; 0; 1; 1; 7,98998492008638
379; 4; 0; 0; 1; 1; 11,2128235288417
379; 17; 0; 0; 1; 1; 10,5688893630129
402; 2; 1; 0; 0,999900440937046; 9,95590629545087E-05; 14,066509878026
416; 10; 0; 0; 0,83527342971616; 0,83527342971616; 6,15364992680599
447; 10; 0; 0; 1; 1; 7,01005737793963
468; 10; 0; 0; 1; 1; 7,04532067852356
477; 2; 0; 0; 1; 1; 7,03189740248644
498; 2; 0; 0; 0,957330157874115; 0,957330157874115; 9,37962301507323
503; 2; 1; 0; 1; 0; 4,01371620543174
510; 2; 0; 0; 0,559488835855106; 0,559488835855106; 7,0385283458323
528; 2; 0; 0; 1; 1; 7,05156359990031
537; 10; 0; 0; 1; 1; 7,04532067852356
541; 2; 0; 0; 1; 1; 7,03691904436078
543; 20; 0; 0; 1; 1; 8,07186001017923
546; 10; 0; 0; 1; 1; 6,98856855717409
555; 10; 0; 0; 1; 1; 4,67337158529308
565; 2; 0; 0; 1; 1; 9,42537666037043
570; 10; 9; 0; 0,148606562604248; 0,0264606480161076; 10,0717820636226
615; 2; 0; 0; 1; 1; 10,5206347340795
620; 18; 0; 0; 0,877996630304539; 0,877996630304539; 8,66056665018511
630; 10; 0; 0; 1; 1; 11,2809050151125
671; 2; 0; 0; 0,65948520488867; 0,65948520488867; 6,24253821842544
673; 13; 0; 0; 0,583504930046715; 0,583504930046715; 10,524711590337
679; 4; 0; 0; 1; 1; 8,00915966345835
692; 10; 0; 0; 1; 1; 8,41206885352755
718; 2; 0; 0; 1; 1; 10,0747497943563
734; 10; 0; 0; 1; 1; 6,39493122143679
743; 2; 0; 0; 0,61804005410388; 0,61804005410388; 7,0385283458323
766; 2; 0; 0; 1; 1; 7,03189740248644
786; 10; 0; 0; 1; 1; 8,45438481422827
794; 13; 2; 0; 0,731738301441508; 0,239592561751606; 6,47674559405356
795; 2; 0; 0; 1; 1; 7,02634502484776
821; 2; 0; 0; 1; 1; 4,68423001656517
825; 3; 0; 0; 1; 1; 9,35392291611798
827; 10; 0; 0; 1; 1; 14,1031271998006
828; 16; 0; 0; 1; 1; 12,0024392296373
829; 2; 0; 0; 1; 1; 7,02634502484776
830; 4; 0; 0; 1; 1; 9,34401960736808
830; 17; 0; 0; 1; 1; 8,45511149041034
844; 2; 0; 0; 0,50051956733079; 0,50051956733079; 7,0131354232374
881; 18; 0; 0; 0,893138138565207; 0,893138138565207; 9,38228053770054
894; 10; 0; 0; 1; 1; 8,41206885352755
914; 10; 0; 0; 1; 1; 6,03884629587733
919; 10; 0; 0; 1; 1; 8,0577892965089
928; 11; 0; 0; 1; 1; 13,9822089674753
987; 13; 2; 0; 0,703865177025147; 0,24887624740568; 6,01412090876402
991; 3; 0; 0; 1; 1; 8,07975115646205
1001; 2; 0; 0; 1; 1; 4,68423001656517
