MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; velocidad
21; 2; 0; 0; 0,998984629900532; 0,998984629900532; 6,22840562082898
32; 10; 0; 0; 1; 1; 11,2809050151125
54; 20; 0; 0; 1; 1; 6,95421785492364
68; 3; 0; 0; 1; 1; 9,0493212952375
69; 16; 0; 0; 1; 1; 15,0674791931781
77; 16; 0; 0; 1; 1; 5,0130126865995
113; 10; 0; 0; 1; 1; 15,0412066868166
128; 4; 0; 0; 1; 1; 6,42339064177388
128; 2; 0; 0; 1; 1; 7,5006905626522
158; 10; 0; 0; 1; 1; 11,1859788881209
164; 10; 0; 0; 1; 1; 7,03442434358047
176; 10; 0; 0; 1; 1; 9,61379297546006
191; 10; 2; 0; 1; 0; 8,9809596228165
213; 10; 0; 0; 1; 1; 8,45438481422827
231; 20; 0; 0; 1; 1; 6,02698880760049
235; 16; 0; 0; 1; 1; 9,04048751590685
238; 11; 0; 0; 1; 1; 8,94861373918418
244; 20; 0; 0; 1; 1; 8,21862110127339
244; 2; 1; 0; 0,619390559183928; 0,380609440816072; 6,3908993396173
257; 10; 2; 0; 0,582111610619588; 0,000656441951430312; 7,81170099823491
268; 2; 1; 0; 1; 0; 6,13383619093235
277; 10; 0; 0; 1; 1; 8,45926465494068
277; 10; 0; 0; 1; 1; 5,63625654281885
302; 16; 0; 0; 1; 1; 15,0674791931781
304; 10; 0; 0; 0,999283306037667; 0,999283306037667; 7,46891196207704
321; 10; 0; 0; 1; 1; 12,8924628744142
332; 3; 0; 0; 1; 1; 7,54110107936458
340; 2; 1; 0; 0,994690829286413; 0,00530917071358731; 9,01100935758575
362; 3; 0; 0; 1; 1; 11,2159778067974
363; 16; 0; 0; 1; 1; 11,2709013206505
372; 10; 0; 0; 0,999981032950911; 0,999981032950911; 9,93929750353649
379; 4; 0; 0; 1; 1; 11,2128235288417
379; 17; 0; 0; 1; 1; 11,2734819872138
408; 10; 0; 0; 1; 1; 11,2160918047034
416; 2; 0; 0; 1; 1; 15,0806026565927
428; 16; 0; 0; 1; 1; 5,63963927242444
454; 10; 0; 0; 1; 1; 7,47739453646893
468; 2; 1; 0; 0,51390947529949; 0,48609052470051; 9,34817498626184
477; 2; 0; 0; 1; 1; 6,42916333941617
482; 11; 0; 0; 1; 1; 14,9506891388576
498; 10; 0; 0; 0,995706002498361; 0,995706002498361; 6,3895483951306
509; 2; 0; 0; 1; 1; 5,61535991350536
510; 2; 0; 0; 1; 1; 8,04403239523692
528; 2; 0; 0; 1; 1; 7,52166783989366
541; 2; 0; 0; 1; 1; 7,5060469806515
543; 20; 0; 0; 1; 1; 10,0449813460008
546; 10; 0; 0; 0,998365548836597; 0,998365548836597; 6,88105211783295
565; 2; 0; 0; 1; 1; 11,3104519924445
570; 10; 0; 0; 1; 1; 12,5337732347303
591; 10; 0; 0; 1; 1; 4,81778765424683
615; 2; 0; 0; 1; 1; 11,2111301174922
620; 22; 0; 0; 0,999998970192163; 0,999998970192163; 9,67216480787073
630; 10; 0; 0; 1; 1; 11,2809050151125
666; 2; 0; 0; 1; 1; 9,58980085888943
673; 13; 2; 0; 1; 0; 9,62259345402243
679; 4; 0; 0; 1; 1; 9,96695424785928
692; 10; 0; 0; 1; 1; 9,61379297546006
718; 2; 1; 0; 0,566296259338795; 0,433703740661205; 10,2579270633446
734; 2; 0; 0; 1; 1; 6,93471201236523
743; 2; 0; 0; 1; 1; 7,50776356888779
766; 4; 0; 0; 1; 1; 6,91749761421802
794; 2; 0; 0; 1; 1; 9,0044380944703
814; 10; 0; 0; 1; 1; 4,80689648773003
817; 20; 0; 0; 1; 1; 9,04048321140073
826; 16; 0; 0; 1; 1; 15,0390380597985
827; 10; 0; 0; 1; 1; 12,3081837380078
830; 4; 0; 0; 1; 1; 9,96695424785928
830; 17; 0; 0; 1; 1; 11,2734819872138
875; 16; 0; 0; 0,99968218305378; 0,99968218305378; 12,2206653974489
881; 22; 0; 0; 0,999941640328049; 0,999941640328049; 7,96531219471707
886; 10; 0; 0; 1; 1; 11,2809050151125
914; 10; 0; 0; 1; 1; 6,14864350125692
919; 16; 0; 0; 1; 1; 9,66323286878944
923; 10; 0; 0; 1; 1; 5,96585540699783
928; 2; 0; 0; 1; 1; 12,7817986792346
935; 3; 1; 0; 0,733941891886171; 0,266058108113829; 7,88094739085039
960; 10; 0; 0; 1; 1; 14,9134760016434
969; 10; 0; 0; 1; 1; 11,2160918047034
987; 10; 0; 0; 0,983940729860009; 0,983940729860009; 5,59085484573927
991; 3; 0; 0; 1; 1; 9,0493212952375
1001; 2; 0; 0; 1; 1; 6,42408687986081
1007; 16; 0; 0; 1; 1; 11,2709013206505
1051; 10; 0; 0; 1; 1; 6,14864350125692
1070; 16; 0; 0; 1; 1; 12,8906040512559
1090; 2; 0; 0; 0,517209231319067; 0,517209231319067; 5,28779707913684
1092; 10; 0; 0; 1; 1; 8,41206885352755
1098; 4; 0; 0; 1; 1; 7,49395574873619
1098; 10; 0; 0; 0,999999992251086; 0,999999992251086; 9,02472401208997
1110; 17; 0; 0; 1; 1; 11,2734819872138
1111; 10; 0; 0; 1; 1; 6,76350785138261
1127; 2; 0; 0; 1; 1; 9,58980085888943
1155; 2; 0; 0; 0,743186373609188; 0,743186373609188; 5,34981165005412
1177; 2; 1; 0; 0,575056225704927; 0,424943774295074; 3,08526175016008
1187; 4; 0; 0; 1; 1; 9,96695424785928
1187; 2; 0; 0; 1; 1; 9,00082867518264
1208; 16; 0; 0; 1; 1; 11,2737716802543
1228; 2; 0; 0; 1; 1; 4,73917794445805
1236; 2; 1; 0; 0,649768340157094; 0,350231659842906; 4,08602501569665
1236; 10; 0; 0; 1; 1; 15,0412066868166
1250; 3; 0; 0; 0,988426576490013; 0,988426576490013; 11,294612871444
1256; 2; 0; 0; 1; 1; 5,39758403602726
1267; 3; 0; 0; 1; 1; 4,48639112271896
1271; 2; 0; 0; 1; 1; 11,2689070200935
1273; 3; 0; 0; 1; 1; 9,0493212952375
1308; 10; 0; 0; 1; 1; 5,63625654281885
1315; 16; 0; 0; 1; 1; 12,8810300807434
1329; 2; 0; 0; 1; 1; 6,42916333941617
1331; 10; 0; 0; 1; 1; 14,9089462553047
1342; 2; 0; 0; 1; 1; 11,2532079024208
1364; 16; 0; 0; 1; 1; 5,63963927242444
1368; 3; 0; 0; 1; 1; 5,17954862293039
1370; 2; 0; 0; 1; 1; 9,58980085888943
1376; 2; 0; 0; 1; 1; 7,52247984645269
1380; 2; 1; 0; 0,595536545003806; 0,404463454996194; 8,01272141679586
1380; 10; 0; 0; 1; 1; 6,76350785138261
1471; 2; 0; 0; 1; 1; 7,52247984645269
1474; 3; 0; 0; 1; 1; 6,96101638095192
1477; 2; 0; 0; 1; 1; 6,01008374404987
1478; 3; 0; 0; 0,904576418106401; 0,904576418106401; 6,88990273673254
1484; 16; 0; 0; 1; 1; 10,0185789516893
1495; 20; 0; 0; 1; 1; 6,95421785492364
1522; 19; 0; 0; 1; 1; 8,44674621705104
1553; 18; 0; 0; 0,604480731586866; 0,604480731586866; 6,00465954412835
1576; 2; 0; 0; 1; 1; 9,58980085888943
1587; 10; 0; 0; 0,999964452150875; 0,999964452150875; 7,96552276383727
1588; 2; 0; 0; 1; 1; 6,76950105590429
1629; 4; 0; 0; 1; 1; 9,61500726852012
1675; 13; 2; 0; 1; 0; 9,62259345402243
1687; 2; 0; 0; 1; 1; 5,30301506827929
1689; 10; 0; 0; 1; 1; 8,45438481422827
1691; 22; 0; 0; 0,999984972894972; 0,999984972894972; 8,46314420688689
1692; 2; 0; 0; 0,904433887246601; 0,904433887246601; 4,51348790787161
1702; 10; 0; 0; 1; 1; 4,20603442676378
1703; 10; 0; 0; 1; 1; 5,40537416690915
1716; 22; 0; 0; 0,999941640328049; 0,999941640328049; 7,96531219471707
1726; 10; 0; 0; 1; 1; 4,20603442676378
1729; 2; 0; 0; 1; 1; 6,42916333941617
1753; 10; 0; 0; 0,665492635092648; 0,665492635092648; 5,62619421879405
1776; 2; 0; 0; 0,972371995348028; 0,972371995348028; 9,94139897273803
1808; 18; 0; 0; 0,678331246818699; 0,678331246818699; 8,57808506304049
1809; 2; 0; 0; 1; 1; 5,11350729021364
1809; 16; 0; 0; 1; 1; 13,5285260163052
1811; 22; 0; 0; 0,999999048405901; 0,999999048405901; 9,67216480787073
1813; 4; 0; 0; 1; 1; 7,47521568589446
1842; 2; 1; 0; 1; 0; 4,98711852319104
1875; 2; 1; 0; 0,577946245860535; 0,422053754139466; 8,62908460270324
1944; 2; 0; 0; 1; 1; 18,0842825914142
1948; 2; 0; 0; 1; 1; 6,12649446476891
1954; 2; 0; 0; 1; 1; 7,51260468006233
1956; 10; 0; 0; 1; 1; 6,76350785138261
1965; 3; 0; 0; 1; 1; 5,17660514159879
1975; 2; 0; 0; 1; 1; 9,0072563767818
1984; 2; 0; 0; 1; 1; 6,12649446476891
1996; 2; 0; 0; 1; 1; 8,027056352818
2008; 22; 0; 0; 0,999999964766963; 0,999999964766963; 11,2841922758492
2020; 2; 0; 0; 1; 1; 4,49686081590257
2030; 2; 1; 0; 1; 0; 5,11892970605986
2031; 10; 0; 0; 0,999548674264272; 0,999548674264272; 7,12704668343335
2032; 2; 0; 0; 1; 1; 4,499886415388
2032; 2; 0; 0; 1; 1; 7,5060469806515
2107; 10; 0; 0; 1; 1; 6,39198793606911
2126; 10; 0; 0; 1; 1; 15,0412066868166
2133; 10; 0; 0; 1; 1; 5,63059809053036
2175; 20; 0; 0; 1; 1; 6,02698880760049
2175; 2; 0; 0; 1; 1; 5,16373892401738
2177; 20; 0; 0; 1; 1; 6,02698880760049
2210; 10; 0; 0; 1; 1; 4,48643672188136
2246; 10; 0; 0; 1; 1; 6,88314276998924
